isin,name,type,issuer,market,currency,ask_price,nominal,issue_date,maturity_date,strike_date,final_valuation_date,barrier_down,barrier_type,coupon,coupon_frequency,has_memory,annual_coupon_yield,underlyings,buffer_from_barrier,scenario_analysis,source
XS2969833818,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Bnp Paribas,CERT-X,EUR,1000.0,1000.0,2025-03-18,2029-03-15,2025-03-06,2029-03-06,60.0,European,2.11,quarterly,True,8.44,"[{'name': 'Euro Stoxx 50', 'strike': 5520.47, 'barrier': 3312.28, 'worst_of': False}, {'name': 'Eurostoxx Banks', 'strike': 193.7, 'barrier': 116.22, 'worst_of': False}, {'name': 'Nasdaq 100', 'strike': 20052.63, 'barrier': 12031.58, 'worst_of': False}, {'name': 'iShares China Large-Cap Etf', 'strike': 36.97, 'barrier': 22.18, 'worst_of': True}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 11.09, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -70.0, 'pl_annual': -23.31}, {'variation_pct': -60, 'underlying_price': 14.79, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -60.0, 'pl_annual': -19.98}, {'variation_pct': -50, 'underlying_price': 18.48, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -50.0, 'pl_annual': -16.65}, {'variation_pct': -40, 'underlying_price': 22.18, 'underlying_level': 60, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': -30, 'underlying_price': 25.88, 'underlying_level': 70, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': -20, 'underlying_price': 29.58, 'underlying_level': 80, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': -10, 'underlying_price': 33.27, 'underlying_level': 90, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': 0, 'underlying_price': 36.97, 'underlying_level': 100, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': 10, 'underlying_price': 40.67, 'underlying_level': 110, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': 20, 'underlying_price': 44.36, 'underlying_level': 120, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}, {'variation_pct': 30, 'underlying_price': 48.06, 'underlying_level': 130, 'redemption': 1253.49, 'pl_pct': 25.35, 'pl_annual': 8.44}], 'years_to_maturity': 3.0, 'worst_underlying': 'iShares China Large-Cap Etf', 'purchase_price': 1000.0, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
XS3062066132,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,974.57,1000.0,2025-07-18,2029-07-16,2025-07-09,2029-07-09,55.0,European,0.68,monthly,True,8.16,"[{'name': 'Eurostoxx Oil & Gas', 'strike': 391.48, 'barrier': 215.31, 'worst_of': False}, {'name': 'Eurostoxx Basic Resources', 'strike': 185.4, 'barrier': 101.97, 'worst_of': False}, {'name': 'Eurostoxx HealthCare', 'strike': 804.6, 'barrier': 442.53, 'worst_of': False}, {'name': 'Eurostoxx Insurance', 'strike': 511.13, 'barrier': 281.12, 'worst_of': True}, {'name': 'Eurostoxx Technology', 'strike': 1132.24, 'barrier': 622.73, 'worst_of': False}]",45.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 153.34, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -69.22, 'pl_annual': -20.72}, {'variation_pct': -60, 'underlying_price': 204.45, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -58.96, 'pl_annual': -17.65}, {'variation_pct': -50, 'underlying_price': 255.56, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -48.7, 'pl_annual': -14.58}, {'variation_pct': -40, 'underlying_price': 306.68, 'underlying_level': 60, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': -30, 'underlying_price': 357.79, 'underlying_level': 70, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': -20, 'underlying_price': 408.9, 'underlying_level': 80, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': -10, 'underlying_price': 460.02, 'underlying_level': 90, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': 0, 'underlying_price': 511.13, 'underlying_level': 100, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': 10, 'underlying_price': 562.24, 'underlying_level': 110, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': 20, 'underlying_price': 613.36, 'underlying_level': 120, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}, {'variation_pct': 30, 'underlying_price': 664.47, 'underlying_level': 130, 'redemption': 1272.56, 'pl_pct': 30.58, 'pl_annual': 9.16}], 'years_to_maturity': 3.34, 'worst_underlying': 'Eurostoxx Insurance', 'purchase_price': 974.57, 'barrier_pct': 55.0, 'nominal': 1000.0}",CED
XS2912784340,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,1009.99,1000.0,2025-04-07,2029-04-04,2025-03-26,2029-03-26,60.0,European,0.67,monthly,True,8.04,"[{'name': 'Eurostoxx Utilities', 'strike': 417.68, 'barrier': 250.61, 'worst_of': False}, {'name': 'Eurostoxx Select Dividend 30', 'strike': 1934.57, 'barrier': 1160.74, 'worst_of': True}, {'name': 'Stoxx Europe 600 Oil&Gas', 'strike': 375.19, 'barrier': 225.11, 'worst_of': False}, {'name': 'Stoxx Europe 600 Basic Resources', 'strike': 535.52, 'barrier': 321.31, 'worst_of': False}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 580.37, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -70.3, 'pl_annual': -22.99}, {'variation_pct': -60, 'underlying_price': 773.83, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -60.4, 'pl_annual': -19.75}, {'variation_pct': -50, 'underlying_price': 967.28, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -50.49, 'pl_annual': -16.51}, {'variation_pct': -40, 'underlying_price': 1160.74, 'underlying_level': 60, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': -30, 'underlying_price': 1354.2, 'underlying_level': 70, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': -20, 'underlying_price': 1547.66, 'underlying_level': 80, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': -10, 'underlying_price': 1741.11, 'underlying_level': 90, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': 0, 'underlying_price': 1934.57, 'underlying_level': 100, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': 10, 'underlying_price': 2128.03, 'underlying_level': 110, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': 20, 'underlying_price': 2321.48, 'underlying_level': 120, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}, {'variation_pct': 30, 'underlying_price': 2514.94, 'underlying_level': 130, 'redemption': 1245.88, 'pl_pct': 23.36, 'pl_annual': 7.64}], 'years_to_maturity': 3.06, 'worst_underlying': 'Eurostoxx Select Dividend 30', 'purchase_price': 1009.99, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
XS2976532023,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,989.99,1000.0,2025-04-22,2028-04-10,2025-04-01,2028-04-03,55.0,European,0.64,monthly,True,7.68,"[{'name': 'Eurostoxx Banks', 'strike': 189.57, 'barrier': 104.26, 'worst_of': False}, {'name': 'Stoxx Europe 600 Auto&Parts', 'strike': 532.78, 'barrier': 293.03, 'worst_of': True}, {'name': 'Stoxx Europe 600 Health Care', 'strike': 1095.46, 'barrier': 602.5, 'worst_of': False}]",45.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 159.83, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -69.7, 'pl_annual': -33.59}, {'variation_pct': -60, 'underlying_price': 213.11, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -59.6, 'pl_annual': -28.72}, {'variation_pct': -50, 'underlying_price': 266.39, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -49.49, 'pl_annual': -23.85}, {'variation_pct': -40, 'underlying_price': 319.67, 'underlying_level': 60, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': -30, 'underlying_price': 372.95, 'underlying_level': 70, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': -20, 'underlying_price': 426.22, 'underlying_level': 80, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': -10, 'underlying_price': 479.5, 'underlying_level': 90, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': 0, 'underlying_price': 532.78, 'underlying_level': 100, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': 10, 'underlying_price': 586.06, 'underlying_level': 110, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': 20, 'underlying_price': 639.34, 'underlying_level': 120, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}, {'variation_pct': 30, 'underlying_price': 692.61, 'underlying_level': 130, 'redemption': 1159.38, 'pl_pct': 17.11, 'pl_annual': 8.24}], 'years_to_maturity': 2.08, 'worst_underlying': 'Stoxx Europe 600 Auto&Parts', 'purchase_price': 989.99, 'barrier_pct': 55.0, 'nominal': 1000.0}",CED
XS2976646898,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,1020.86,1000.0,2025-04-30,2028-04-21,2025-04-11,2028-04-11,60.0,European,0.63,monthly,True,7.56,"[{'name': 'Eurostoxx Banks', 'strike': 166.55, 'barrier': 99.93, 'worst_of': True}, {'name': 'Stoxx Europe 600 Oil&Gas', 'strike': 300.49, 'barrier': 180.29, 'worst_of': False}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 49.97, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -70.61, 'pl_annual': -33.54}, {'variation_pct': -60, 'underlying_price': 66.62, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -60.82, 'pl_annual': -28.89}, {'variation_pct': -50, 'underlying_price': 83.28, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -51.02, 'pl_annual': -24.23}, {'variation_pct': -40, 'underlying_price': 99.93, 'underlying_level': 60, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': -30, 'underlying_price': 116.58, 'underlying_level': 70, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': -20, 'underlying_price': 133.24, 'underlying_level': 80, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': -10, 'underlying_price': 149.9, 'underlying_level': 90, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': 0, 'underlying_price': 166.55, 'underlying_level': 100, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': 10, 'underlying_price': 183.21, 'underlying_level': 110, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': 20, 'underlying_price': 199.86, 'underlying_level': 120, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}, {'variation_pct': 30, 'underlying_price': 216.52, 'underlying_level': 130, 'redemption': 1159.17, 'pl_pct': 13.55, 'pl_annual': 6.44}], 'years_to_maturity': 2.11, 'worst_underlying': 'Eurostoxx Banks', 'purchase_price': 1020.86, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
XS3073670252,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,1002.25,1000.0,2025-07-31,2029-07-30,2025-07-23,2029-07-23,60.0,European,0.58,monthly,True,6.96,"[{'name': 'Eurostoxx Utilities', 'strike': 449.23, 'barrier': 269.54, 'worst_of': False}, {'name': 'Stoxx Europe 600 Oil&Gas', 'strike': 374.13, 'barrier': 224.48, 'worst_of': False}, {'name': 'Eurostoxx Technology', 'strike': 1066.24, 'barrier': 639.74, 'worst_of': True}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 319.87, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -70.07, 'pl_annual': -20.74}, {'variation_pct': -60, 'underlying_price': 426.5, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -60.09, 'pl_annual': -17.79}, {'variation_pct': -50, 'underlying_price': 533.12, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -50.11, 'pl_annual': -14.83}, {'variation_pct': -40, 'underlying_price': 639.74, 'underlying_level': 60, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': -30, 'underlying_price': 746.37, 'underlying_level': 70, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': -20, 'underlying_price': 852.99, 'underlying_level': 80, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': -10, 'underlying_price': 959.62, 'underlying_level': 90, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': 0, 'underlying_price': 1066.24, 'underlying_level': 100, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': 10, 'underlying_price': 1172.86, 'underlying_level': 110, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': 20, 'underlying_price': 1279.49, 'underlying_level': 120, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}, {'variation_pct': 30, 'underlying_price': 1386.11, 'underlying_level': 130, 'redemption': 1235.14, 'pl_pct': 23.24, 'pl_annual': 6.88}], 'years_to_maturity': 3.38, 'worst_underlying': 'Eurostoxx Technology', 'purchase_price': 1002.25, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
XS3084880551,PHOENIX MEMORY STEP DOWN,Phoenix Memory Step Down,Barclays,CERT-X,EUR,946.92,1000.0,2025-08-22,2029-08-20,2025-08-13,2029-08-13,60.0,European,0.565,monthly,True,6.78,"[{'name': 'Eurostoxx Insurance', 'strike': 523.34, 'barrier': 314.0, 'worst_of': False}, {'name': 'Russell 2000', 'strike': 2328.057, 'barrier': 1396.83, 'worst_of': False}, {'name': 'Eurostoxx Technology', 'strike': 1055.81, 'barrier': 633.49, 'worst_of': False}, {'name': 'iShares MSCI China ETF', 'strike': 60.56, 'barrier': 36.34, 'worst_of': True}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 18.17, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -68.32, 'pl_annual': -19.88}, {'variation_pct': -60, 'underlying_price': 24.22, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -57.76, 'pl_annual': -16.81}, {'variation_pct': -50, 'underlying_price': 30.28, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -47.2, 'pl_annual': -13.74}, {'variation_pct': -40, 'underlying_price': 36.34, 'underlying_level': 60, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': -30, 'underlying_price': 42.39, 'underlying_level': 70, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': -20, 'underlying_price': 48.45, 'underlying_level': 80, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': -10, 'underlying_price': 54.5, 'underlying_level': 90, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': 0, 'underlying_price': 60.56, 'underlying_level': 100, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': 10, 'underlying_price': 66.62, 'underlying_level': 110, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': 20, 'underlying_price': 72.67, 'underlying_level': 120, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}, {'variation_pct': 30, 'underlying_price': 78.73, 'underlying_level': 130, 'redemption': 1232.96, 'pl_pct': 30.21, 'pl_annual': 8.79}], 'years_to_maturity': 3.44, 'worst_underlying': 'iShares MSCI China ETF', 'purchase_price': 946.92, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
IT0005657207,PHOENIX MEMORY,Phoenix Memory,Intesa Sanpaolo,CERT-X,EUR,1000.0,1000.0,2025-07-30,2028-07-31,2025-07-11,2028-07-27,60.0,European,0.52,monthly,True,6.24,"[{'name': 'Euro Stoxx 50', 'strike': 5383.48, 'barrier': 3230.09, 'worst_of': True}, {'name': 'S&P 500', 'strike': 6259.75, 'barrier': 3755.85, 'worst_of': False}, {'name': 'Nikkei 225', 'strike': 39569.68, 'barrier': 23741.81, 'worst_of': False}]",40.0,"{'scenarios': [{'variation_pct': -70, 'underlying_price': 1615.04, 'underlying_level': 30, 'redemption': 300.0, 'pl_pct': -70.0, 'pl_annual': -29.39}, {'variation_pct': -60, 'underlying_price': 2153.39, 'underlying_level': 40, 'redemption': 400.0, 'pl_pct': -60.0, 'pl_annual': -25.19}, {'variation_pct': -50, 'underlying_price': 2691.74, 'underlying_level': 50, 'redemption': 500.0, 'pl_pct': -50.0, 'pl_annual': -20.99}, {'variation_pct': -40, 'underlying_price': 3230.09, 'underlying_level': 60, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': -30, 'underlying_price': 3768.44, 'underlying_level': 70, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': -20, 'underlying_price': 4306.78, 'underlying_level': 80, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': -10, 'underlying_price': 4845.13, 'underlying_level': 90, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': 0, 'underlying_price': 5383.48, 'underlying_level': 100, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': 10, 'underlying_price': 5921.83, 'underlying_level': 110, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': 20, 'underlying_price': 6460.18, 'underlying_level': 120, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}, {'variation_pct': 30, 'underlying_price': 6998.52, 'underlying_level': 130, 'redemption': 1148.63, 'pl_pct': 14.86, 'pl_annual': 6.24}], 'years_to_maturity': 2.38, 'worst_underlying': 'Euro Stoxx 50', 'purchase_price': 1000.0, 'barrier_pct': 60.0, 'nominal': 1000.0}",CED
DE000GU3NAJ5,DIGITAL,Digital,Goldman Sachs,CERT-X,EUR,1000.0,1000.0,2025-09-25,2027-09-27,2025-09-12,2027-09-27,0.0,European,0.4,monthly,False,4.8,"[{'name': 'ESTRON', 'strike': 1.925, 'barrier': 0, 'worst_of': True}]",0.0,,CED
XS2935637137,BUY ON DIPS,Certificato,Barclays,CERT-X,USD,1112.66,1000.0,2025-02-26,2028-02-15,2025-02-07,2028-02-07,0.0,European,4.65,annual,False,4.65,"[{'name': 'S&P 500', 'strike': 6025.99, 'barrier': 0, 'worst_of': True}]",0.0,,CED
